window,seed,scenario,method,ks_pass,ad_pass,w1,w1_standardized,abs_acf_mae25,abs_acf_mae60,raw_acf_mae25,kurtosis,kurtosis_abs_error,variance_ratio_generator,variance_ratio_observed,beta_abs_error,beta_effective_abs_error,r2_abs_error,clipped,tracker,var99_rate,var95_rate
training,3456,off,hybrid,0.7441891252955102,0.6915366430260065,0.28702379255022054,0.0567334787289713,0.13571946677238272,0.09483787399827881,0.0314372515106352,13.410959143222067,24.85530009095121,1.0000825005389307,1.0545420885380128,0.02238405397390769,0.022382841421966483,0.03530219773676898,2.8368794326241135e-5,0.004728132387706862,0.008050474437145409,0.04745931771989832
training,3456,market_only,naive,0.06352718676122938,0.03191489361702126,0.7424740636735192,0.1526497213823084,0.1322542909607226,0.0922917475675797,0.03151041719421103,14.017855521126311,24.41179512167845,1.3479886623132926,1.4151820130718833,0.026811661945614722,0.026811661945614722,0.08376561689240372,0.0,0.0,0.0058515236517728796,0.03383779394846916
training,3456,market_only,hybrid,0.7385815602836888,0.6820141843971641,0.2899186223196575,0.057276654121183344,0.12899134450797053,0.09010395458581993,0.03159287182075554,13.157836751882442,25.02241091467162,1.0003220891417415,1.0547879883060312,0.021819630782068007,0.021755146000762178,0.04630665033322668,0.0013806146572104027,0.004728132387706862,0.008052898331478658,0.047412046652273734
training,3456,market_and_assets,naive,0.05323877068557923,0.025626477541371148,0.8087453027806832,0.16622779921347824,0.1175314152455343,0.08283814052078319,0.03190629696592445,13.674332901925942,24.53972358133149,1.3330738994365192,1.4718977394948052,0.02754538121053559,0.02754538121053559,0.09147417847648669,0.0,0.0,0.005509600706997671,0.03230492180462182
training,3456,market_and_assets,hybrid,0.6191394799054378,0.5356501182033105,0.35676012771796867,0.07094982139619611,0.11630942868215187,0.08190232448493849,0.03192604928979782,12.874504362853699,25.116817543543455,1.000136913830521,1.1112654723755429,0.022685824052015528,0.02263189344119164,0.048753850584561546,0.0009645390070921992,0.004728132387706862,0.007543699327702651,0.04501750229483649
training,4567,off,naive,0.06850118203309696,0.03354137115839245,0.7189115940469376,0.1477562093406514,0.13583645891536095,0.09489694991693004,0.03141395682947901,14.302884546802726,24.343658351186686,1.3319403688959979,1.399815047476447,0.027322434632271075,0.027322434632271075,0.0901672353706308,0.0,0.0,0.0059192183368119095,0.03424936026625233
training,4567,off,hybrid,0.7373144208037836,0.6813144208037833,0.29008819417614,0.057332594565171174,0.1356627399656443,0.09480949082071978,0.031417032729118465,13.4449358512785,24.94759081494841,1.0000561294107935,1.0556456166578645,0.0224236717369031,0.022423089461189906,0.03567578347025383,2.8368794326241135e-5,0.004728132387706862,0.008034580664570976,0.04735422190085967
training,4567,market_only,naive,0.06185342789598113,0.03156501182033096,0.7461184861820793,0.1533929337195846,0.13157875505010083,0.09179049624740059,0.03145922796763051,14.136414034575951,24.46656700056951,1.3482486532116225,1.4167258811771555,0.026759610292971147,0.026759610292971147,0.08330262730916045,0.0,0.0,0.005829732534029392,0.03375784646048181
training,4567,market_only,hybrid,0.724368794326242,0.6651442080378264,0.2941185609745344,0.05810718496675469,0.12771790175520856,0.08917600629956378,0.031511031318583654,13.29552019191001,25.140657899424646,1.0002488510426646,1.055838920777958,0.021746710113245634,0.021709425350415115,0.044337041318337336,0.0009645390070921988,0.004728132387706862,0.008009299002237569,0.04732743598816428
training,4567,market_and_assets,naive,0.051593380614657264,0.02551300236406619,0.812362642236439,0.16692303503971637,0.1169124545073822,0.0823864165620278,0.03186275938620647,13.679195016561893,24.646648482956167,1.3335266186623578,1.472870586175012,0.027442655580348415,0.027442655580348415,0.09099997825640925,0.0,0.0,0.005487771982995133,0.032242341570813425
training,4567,market_and_assets,hybrid,0.6063451536643033,0.5240567375886535,0.3605117614424714,0.07167559196161914,0.11515868589814232,0.08108049721355967,0.031854496737192955,12.901245040658583,25.293482560370368,1.000158139382834,1.1116947656193732,0.0225436805338949,0.022511774664214126,0.04705940565544946,0.0008132387706855795,0.004728132387706862,0.00750646913124413,0.04493249505563159
holdout_2025,1234,off,naive,0.8250673076923056,0.7027403846153826,0.9959266242743701,0.2026475547733952,0.07323921611064688,0.06682277805536854,0.07021340062161917,8.195512661768282,8.350342052085864,1.3540277631525504,1.4983026445850685,0.09053869853484782,0.09053869853484782,0.10267935682766127,0.0,0.0,0.011917747914735849,0.04330583873957386
holdout_2025,1234,off,hybrid,0.8619038461538444,0.7909519230769207,0.8723946418842896,0.16853319427134847,0.07338784749452526,0.06687268654552458,0.07017502042266326,8.118998057390952,8.092848463557862,1.000148610379131,1.157646564878754,0.07489437152117907,0.07382344003938114,0.10730748423100286,0.015384615384615392,0.004807692307692295,0.016083603645350643,0.059426475131294634
holdout_2025,1234,market_only,naive,0.8145288461538441,0.6943653846153826,1.0100096409445452,0.20564872319837943,0.07353304835176207,0.06700520071737477,0.07048381326722682,8.187943561436946,8.39266646690761,1.3623112447367591,1.5060273835426508,0.0919006600159789,0.0919006600159789,0.10865620663378268,0.0,0.0,0.012048849243126337,0.04339751312944101
holdout_2025,1234,market_only,hybrid,0.8590480769230745,0.7877884615384589,0.8759825954801772,0.16931967523255373,0.07557356172162147,0.0680749739229622,0.07068710163782509,8.153475795217497,8.240632302070242,1.0004083106405313,1.1578479920620441,0.0784287287889066,0.07507767711064915,0.11900406916524064,0.02960576923076918,0.004807692307692295,0.016448331788693253,0.059719802286067554
holdout_2025,1234,market_and_assets,naive,0.7980096153846128,0.6797980769230747,1.0576078808251792,0.21595636111739122,0.07683506989946784,0.06888933671596008,0.07071369686779998,8.146981951646742,8.389886801894272,1.3561225133347368,1.5957996079610959,0.09342998039347397,0.09342998039347397,0.11115206999642574,0.0,0.0,0.011832213469261645,0.04277177942539406
holdout_2025,1234,market_and_assets,hybrid,0.844009615384613,0.7717692307692285,0.918971436780854,0.17892551294688724,0.07867352536939495,0.0698496109944416,0.07089997242999597,8.104590035328975,8.248349169317283,1.0004494336275775,1.2473163329327728,0.08002298191396501,0.07685793710791075,0.11997060081396815,0.02887499999999998,0.004807692307692295,0.016138129440840296,0.058654116465863694
holdout_2025,2345,off,naive,0.8218076923076898,0.6989326923076903,1.0018628258424673,0.2041010356852979,0.07311584570211738,0.06674401054337133,0.07033210835994944,8.301873516391767,8.365973515924555,1.3663414698668666,1.507953545285187,0.09063895617555491,0.09063895617555491,0.10358312896327089,0.0,0.0,0.011808580475749134,0.043272242817423714
holdout_2025,2345,off,hybrid,0.8546249999999976,0.7842115384615358,0.878015025727335,0.1696415475882444,0.07308669889624156,0.06669982480178953,0.07034124139189665,8.49203228695135,8.317911238561935,1.0006573151363467,1.1561018565400916,0.0757618297127368,0.07356989051883883,0.11690943740781747,0.025903846153846104,0.004807692307692295,0.016100980846462793,0.060242778807538006
holdout_2025,2345,market_only,naive,0.8148076923076902,0.6941826923076899,1.0096993586073206,0.20580627875204605,0.07352250619598409,0.06702400300199787,0.07028400258641235,8.170462516365514,8.365545422717581,1.367612248115601,1.5092722131632088,0.09055247985539197,0.09055247985539197,0.10469579886290566,0.0,0.0,0.011825957676861282,0.04297814334260137
holdout_2025,2345,market_only,hybrid,0.8559807692307675,0.7829807692307665,0.8782796049922754,0.16987788711797755,0.07587551985975534,0.06839327100124395,0.07035976582502872,8.153596709533673,8.195655578043336,1.000323574382282,1.1558362503614545,0.07658288936815956,0.07357278555542167,0.11642526958600467,0.02784615384615381,0.004807692307692295,0.01611808773555762,0.059602602718566766
holdout_2025,2345,market_and_assets,naive,0.8007499999999977,0.6786923076923058,1.0576573785394947,0.21605606573077504,0.07683081545860837,0.06892139009093963,0.07052700951429365,8.135240584088026,8.40551620372921,1.3616311226348587,1.5753777386982806,0.0919301968145536,0.0919301968145536,0.1076541437533081,0.0,0.0,0.011598741118319416,0.04229417670682749
holdout_2025,2345,market_and_assets,hybrid,0.841374999999998,0.7683557692307679,0.9199667772029079,0.1790330707261316,0.07898636533915082,0.07018117753608832,0.07059567972479673,8.125840978953965,8.243394236040466,1.0003027905921789,1.221562924829516,0.07807502572821391,0.07517940373016134,0.1182845502567373,0.026826923076923057,0.004807692307692295,0.015790430954587573,0.05852374884152015
holdout_2025,3456,off,naive,0.82180769230769,0.6973653846153828,1.006523066348445,0.20522615133505864,0.07328677037507866,0.0668925290902578,0.07029997808641245,8.157768679405907,8.361277902380087,1.369351083065262,1.512770006190132,0.08978121958565362,0.08978121958565362,0.09983807261191077,0.0,0.0,0.011673154155081857,0.042683348779734474
holdout_2025,3456,off,hybrid,0.8581249999999974,0.7853749999999978,0.874949479216562,0.16917649797093987,0.07340887329752811,0.06696989349950698,0.07033394295440859,8.157926599618099,8.150657202994754,1.0005111977359262,1.1573710808048763,0.07406761391336966,0.07250293433069237,0.1150161165201815,0.021846153846153845,0.004807692307692295,0.015826691380908267,0.0593700185356814
holdout_2025,3456,market_only,naive,0.8238365384615364,0.7004807692307669,1.0041067258542664,0.2045944078808971,0.07330731653888506,0.0668666626983462,0.07024743697799876,8.309536928087702,8.452324357013618,1.3653529169920144,1.5087549146982213,0.0910976139725617,0.0910976139725617,0.1056351134391841,0.0,0.0,0.011928946555452562,0.04300915199258593
holdout_2025,3456,market_only,hybrid,0.8612980769230746,0.78955769230769,0.8735710474316205,0.16888498954328326,0.07419089093454145,0.06735318771706629,0.07028594783291688,8.495415183000356,8.500612364116066,1.0003912298312356,1.157172594917811,0.07712068833988206,0.07414681933882976,0.11669065934372846,0.0278557692307692,0.004807692307692295,0.01618817578004326,0.05960434043867801
holdout_2025,3456,market_and_assets,naive,0.8082403846153823,0.6866249999999979,1.05047215444683,0.2145766173098335,0.07649236091076995,0.06871900763804652,0.07048235478120744,8.227474895756608,8.419617534042818,1.3595643181197106,1.5740904301473702,0.09243329845207585,0.09243329845207585,0.10839222487784893,0.0,0.0,0.011751312944084016,0.04244443157244379
holdout_2025,3456,market_and_assets,hybrid,0.8465096153846122,0.7748942307692281,0.9152673848895783,0.17808024703825026,0.07719078351035161,0.06908664851569415,0.07051964216293242,8.406075796337527,8.467208016425964,1.0003763662032465,1.2223482146386226,0.07860907550755174,0.07577663207431835,0.11835390626141779,0.02722115384615381,0.004807692307692295,0.01591944701884461,0.058638708680877574
holdout_2025,4567,off,naive,0.8263557692307669,0.7067403846153822,0.9933970461416306,0.20210103848190558,0.07321890955665455,0.0668696763835319,0.07032167908458463,8.291679413133885,8.40786904141803,1.3535245225597394,1.4909597165998028,0.09164349012450802,0.09164349012450802,0.10457477104369955,0.0,0.0,0.011874999999999985,0.043216558541859955
holdout_2025,4567,off,hybrid,0.8621153846153828,0.7897980769230744,0.8715083489762117,0.16831304320329507,0.07330965060049091,0.06694122426537179,0.0703780726912504,8.290778051672373,8.225388346718821,1.000321851612655,1.1511150404735562,0.07631785513354676,0.0749143196214128,0.1102342203443864,0.018413461538461552,0.004807692307692295,0.016046223354958304,0.05933325610132856
holdout_2025,4567,market_only,naive,0.8173749999999974,0.6949423076923057,1.0103731032040673,0.20591623920399593,0.07350104794059027,0.06701924384436365,0.07025291647689443,8.176890780785932,8.423267576186042,1.3702496344809498,1.5071235352199468,0.09054224200379489,0.09054224200379489,0.10635073029213432,0.0,0.0,0.011805993203583557,0.04282835186901473
holdout_2025,4567,market_only,hybrid,0.8590288461538436,0.7886634615384589,0.8742061755953345,0.16893810862775738,0.07537300753795446,0.06802980677851767,0.07031449805929743,8.11416881242669,8.213692405202135,1.0006913473704895,1.1515156147006782,0.07696452993416453,0.07358144521411385,0.12163188180024387,0.03270192307692304,0.004807692307692295,0.01598459221501391,0.05932696169292583
holdout_2025,4567,market_and_assets,naive,0.8036249999999974,0.682634615384613,1.0545248984669793,0.21566789566286235,0.07674009397076517,0.06887374707513595,0.07046040410382312,8.122201580206834,8.414661341915593,1.363963862840947,1.5810848132995123,0.09277930686076132,0.09277930686076132,0.10942579690910686,0.0,0.0,0.011623880135928319,0.04222999691071999
holdout_2025,4567,market_and_assets,hybrid,0.8452403846153816,0.7733846153846127,0.9142831984353499,0.17803357648032864,0.0784412331718763,0.0697897478751636,0.07052665984681392,8.056601655870855,8.20575881748055,1.0004377963848177,1.2255760161741043,0.0792447211769579,0.07594629280472301,0.12391804384408092,0.03133653846153842,0.004807692307692295,0.0157028498609824,0.058387550200803426
