window,seed,ticker,scenario,method,n_paths,median_variance_ratio_generator,median_variance_ratio_observed,ks_pass,ad_pass,w1,w1_standardized,abs_acf_mae25,abs_acf_mae60,raw_acf_mae25,kurtosis,kurtosis_abs_error,variance_ratio_generator,variance_ratio_observed,beta_abs_error,beta_effective_abs_error,r2_abs_error,clipped,tracker,var99_rate,var95_rate
training,1234,AAPL,market_and_assets,naive,250,1.5523064157658286,1.6461951421197736,0.0,0.0,1.0023565989078005,0.2261578519885667,0.10667900158823448,0.07030230611278222,0.034144635877844776,4.441034623327349,1.7592816932213577,1.5584449525440665,1.664570253537531,0.02590413622167403,0.02590413622167403,0.18233057549114426,0.0,0.0,0.0036413593637020943,0.0274765003615329
training,1234,AAPL,market_and_assets,hybrid,250,1.00061117084277,1.0536829143443205,0.676,0.644,0.2688067405993068,0.06064982773618561,0.10352613809929448,0.0683184184929606,0.03399628619470124,5.985957355957657,2.0020534479603063,1.0011511837123532,1.073554383130455,0.01737186100935834,0.017251196254790314,0.07520208963869862,0.004,0.0,0.007437454808387572,0.049907447577729636
training,1234,ABBV,off,naive,250,1.20828490775593,1.2437925234070142,0.096,0.008,0.42791243030808357,0.10055133582239255,0.08082280631082638,0.05206734725411546,0.027435341871625957,10.88547926873388,5.664636923349305,1.2078866574025795,1.2544518512476839,0.021417893004002257,0.021417893004002257,0.03677180325775557,0.0,0.0,0.007394070860448306,0.039288503253796056
training,1234,ABBV,off,hybrid,250,0.9991206067517644,1.0331083550705573,0.92,0.912,0.19639250561095473,0.046148528030537976,0.08075653279760613,0.05202907734828121,0.02744279782540795,10.263432276425734,5.919628418613448,0.9986815162929211,1.0384893063252694,0.0190525318546897,0.0190525318546897,0.02325476308985689,0.0,0.0,0.008915401301518435,0.04818655097613875
training,1234,ABBV,market_only,naive,250,1.2134134513054033,1.2624356430459405,0.056,0.012,0.44365649398081825,0.10425089330527884,0.07879599787650302,0.05071593856207712,0.027704770673397796,10.759916224627647,5.5609996944134945,1.2196712363237132,1.2671148400902361,0.026247231143150692,0.026247231143150692,0.03224425684568622,0.0,0.0,0.007369486623282718,0.03879103398409249
training,1234,ABBV,market_only,hybrid,250,1.0004687189818728,1.0372920590271673,0.892,0.896,0.20016324992704693,0.047034581697534314,0.07770716729549318,0.05001876459184472,0.02772945650616122,10.09234223092338,5.874972473035161,0.9995848865857508,1.039681502808741,0.023196831414685978,0.023196831414685978,0.027416556122927996,0.0,0.0,0.009033984092552424,0.04824584237165579
training,1234,ABBV,market_and_assets,naive,250,1.210754503600731,1.3218915644433324,0.056,0.0,0.5254122287711923,0.12346194622653825,0.06697424432498207,0.046882861726926246,0.02812914126263896,10.00502531583327,5.180406959016136,1.2110417620482996,1.3433147174449018,0.0244056764093777,0.0244056764093777,0.03713146002971105,0.0,0.0,0.006475777295733918,0.03632537960954442
training,1234,ABBV,market_and_assets,hybrid,250,1.002349315662875,1.0893735943272536,0.768,0.672,0.27433450198304377,0.0644634244831488,0.065921124444403,0.045987623373283354,0.02811883375432669,9.45345710633618,5.4738003889670255,1.0028629868075274,1.115401869927202,0.02177535886755319,0.02177535886755319,0.03003828438124413,0.0,0.0,0.007960954446854664,0.044778018799710724
training,1234,ABT,off,naive,250,1.4124406447975777,1.4444853395518955,0.0,0.0,0.5915338259780992,0.16184649078876448,0.13403177123932963,0.082006334905644,0.03229833757657006,5.509239908926753,1.9953394407891094,1.4176696416426828,1.448950845846671,0.02100076083274113,0.02100076083274113,0.11408050343391785,0.0,0.0,0.004600144613159799,0.031661605206073765
training,1234,ABT,off,hybrid,250,0.9996505681214816,1.0245520545020366,0.952,0.936,0.16165745967624284,0.04423025600465796,0.1334930875665718,0.08179712691062396,0.03235603700780934,5.4615290148512665,2.0716308210620715,1.0001445941321967,1.023874126876826,0.016011656200791168,0.016011656200791168,0.041738348769545165,0.0,0.0,0.008004338394793921,0.049334779464931235
training,1234,ABT,market_only,naive,250,1.422826967113962,1.4620393201386044,0.0,0.0,0.614212541676492,0.16805149613281534,0.1289895113072638,0.07838626449180154,0.032354077964797265,5.473299265839623,2.115345434887524,1.4388544537849417,1.4705457636639951,0.02125481410107144,0.02125481410107144,0.10439753322973622,0.0,0.0,0.004494577006507594,0.030519161243673185
training,1234,ABT,market_only,hybrid,250,1.0005551874481085,1.0202975664902223,0.948,0.92,0.15857289096265084,0.04338630321621654,0.12376492721232128,0.07527782416921083,0.03238605601126298,5.5842409289829344,2.213858607663259,0.9996786678801405,1.0232519091348558,0.01597097847646696,0.01597097847646696,0.05446224560274479,0.0,0.0,0.008015907447577722,0.04905422993492402
training,1234,ABT,market_and_assets,naive,250,1.416441856132994,1.5049022278758803,0.0,0.0,0.6646318474854611,0.18184645992832515,0.11217634581447736,0.0690902452203199,0.032773572457269154,5.292864540188259,2.1367567923168016,1.423351512909473,1.5229235400820653,0.020454188991233555,0.020454188991233555,0.11211149651012114,0.0,0.0,0.004336948662328272,0.029198843094721625
training,1234,ABT,market_and_assets,hybrid,250,1.0021466189901758,1.0537735085097535,0.824,0.744,0.2029887699220727,0.055538700643353776,0.11014798096014164,0.0674225303321083,0.032658755366570924,5.2880210741088165,2.170917586959094,1.0016058416957814,1.0748205938623054,0.015584438151190089,0.015584438151190089,0.056941206298433036,0.0,0.0,0.0074070860448300704,0.046472885032537936
training,1234,ACN,off,naive,250,1.5936139089314945,1.60726815178047,0.0,0.0,0.8368723844959135,0.2175459391558361,0.17371149432207078,0.10778443439647487,0.04112253628833916,4.9636748734844645,2.005976943115026,1.596555032914899,1.610761625498419,0.02332501594554323,0.02332501594554323,0.20328205211545383,0.0,0.0,0.0038785249457700638,0.03166160520607378
training,1234,ACN,off,hybrid,250,0.9991014803803275,1.00311567653099,0.768,0.644,0.20967116126147403,0.05450425959269401,0.17354204480006713,0.1077702574673293,0.04124217307121238,6.366226470566584,1.8818567202160514,1.0000082650557154,1.0107366596048073,0.014880153778026874,0.014880153778026874,0.05877967633884875,0.0,0.0,0.010717281272595797,0.0518452639190167
training,1234,ACN,market_only,naive,250,1.609275450007879,1.6244792362877176,0.0,0.0,0.8674051307946669,0.22548296168355436,0.16633980660142025,0.10246485746778376,0.04084776143865319,4.996512423368053,2.170641142292772,1.6282328522611655,1.642814097298862,0.020677699379912425,0.020677699379912425,0.19185741920065738,0.0,0.0,0.003767172812725959,0.030747650036153304
training,1234,ACN,market_only,hybrid,250,1.0012990815517764,1.004742202153551,0.824,0.688,0.2022425132967082,0.052573174007731774,0.15685290211419006,0.0963239658976227,0.0410244871473356,6.859438923966328,2.2563307874285146,1.000294705710592,1.010878193307388,0.012820196866490776,0.01243583774007174,0.07604109771671273,0.012,0.0,0.010863340563991322,0.051865509761388325
training,1234,ACN,market_and_assets,naive,250,1.5845021962617682,1.675289593237098,0.0,0.0,0.9201066070912414,0.2391827710789177,0.15211422615475498,0.09275441020448563,0.04100224380909615,4.890098529951204,2.240539331539899,1.6023017745229065,1.6956008778292686,0.02003303138837284,0.02003303138837284,0.2021801725548205,0.0,0.0,0.0035864063629790282,0.02934924078091107
training,1234,ACN,market_and_assets,hybrid,250,1.0006676459324866,1.0488002423906586,0.644,0.5,0.24811861658461837,0.06449871983702815,0.14909003977490218,0.09058000784440677,0.041060407453424465,6.498201955456406,2.1747910389558545,1.0011184683927254,1.0632480233465746,0.012823132102749015,0.012697435332175901,0.08078624352614765,0.008,0.0,0.010080983369486618,0.049447577729573394
training,1234,ADBE,off,naive,250,1.4594675351602506,1.5095509031473937,0.0,0.0,0.9893823998442781,0.19052026996647395,0.10287771723640898,0.06969736959840345,0.030878227185994856,6.625681660264709,3.814213174665519,1.464673450413145,1.518524049875468,0.03029315193421505,0.03029315193421505,0.1450665791005502,0.0,0.0,0.005070137382501813,0.03270426608821403
training,1234,ADBE,off,hybrid,250,1.0002251917835006,1.03444656853458,0.6,0.548,0.31071258588870576,0.059832321410624084,0.10238286649096426,0.06948961407426482,0.030843430826736667,6.3557648406894085,4.0547230788167585,0.99897533837107,1.0383153854463032,0.022127443620553557,0.022127443620553557,0.05077687266985135,0.0,0.0,0.00818799710773682,0.05229211858279108
training,1234,ADBE,market_only,naive,250,1.4798715261301676,1.5394097305612262,0.0,0.0,1.025513282623691,0.19747780786319025,0.09824457220679887,0.06622756630533166,0.030450708847476866,6.6202474923573025,4.0358585142855254,1.491356485955227,1.5462676239755304,0.030339813773276877,0.030339813773276877,0.13342684756751322,0.0,0.0,0.004867678958785254,0.03201879971077367
training,1234,ADBE,market_only,hybrid,250,1.0006338782096615,1.0299952040360978,0.62,0.62,0.3057966194421998,0.058885679086400584,0.09260816837910435,0.06278088066436231,0.030299640356650552,6.588301484346199,4.348472969715266,1.000652886948692,1.0400577972728537,0.021676584732483954,0.021676584732483954,0.063552993461345,0.0,0.0,0.008104121475054243,0.05226174981923359
training,1234,ADBE,market_and_assets,naive,250,1.4614259519154662,1.5916695805294856,0.0,0.0,1.0992100595485856,0.21166921640007144,0.08194657092514229,0.056080527517698764,0.030964853482953126,6.7388136797808595,4.234603578122872,1.4703085123535724,1.5986532984801471,0.02967263917815428,0.02967263917815428,0.14340104518161834,0.0,0.0,0.00477946493130875,0.030834417932031802
training,1234,ADBE,market_and_assets,hybrid,250,0.9998202246657859,1.0827228891308578,0.492,0.456,0.38177715173061444,0.07351685862432603,0.07985475929399603,0.054629231916163014,0.030758048398606293,6.578557500407783,4.490150506474879,1.0005625286175244,1.0925119831027013,0.021790338536069365,0.021790338536069365,0.06338270904875727,0.0,0.0,0.007787418655097631,0.04924078091106287
training,1234,ADI,off,naive,250,1.521012648700729,1.5490228213358324,0.0,0.0,0.9445258549035918,0.19456495047051808,0.12861199256913045,0.08622306856604607,0.03502760152263663,5.241150902013302,2.969034976592084,1.5271759661020792,1.5547670690196724,0.028665814519539833,0.028665814519539833,0.16865873815883856,0.0,0.0,0.003521330441070144,0.028446854663774425
training,1234,ADI,off,hybrid,250,0.9995847517022332,1.0149829248357545,0.856,0.904,0.22772506471843462,0.0469095850662132,0.12706788671547362,0.08563447038847163,0.03540987585964299,5.888877177328771,2.494935980627177,1.0005500077063014,1.0201189199956877,0.019674239777458743,0.019674239777458743,0.05182331812752936,0.0,0.0,0.006992046276211133,0.052008676789587864
training,1234,ADI,market_only,naive,250,1.5370651449249662,1.5688022550678815,0.0,0.0,0.9754904002581133,0.20094340501675123,0.12222414521092008,0.0817015169527623,0.03499875654165282,5.285733381322437,3.021649716471692,1.5504249121719011,1.5782217631603614,0.026466288076056554,0.026466288076056554,0.15976443972028148,0.0,0.0,0.0033897324656543787,0.02813593637020972
training,1234,ADI,market_only,hybrid,250,0.9970046682805738,1.0163008752803824,0.896,0.904,0.22373058491719305,0.046086753419361755,0.11378794148500598,0.07667891038288253,0.03537500114168566,6.2848906547748715,2.7354794198775276,0.9973246218800573,1.0167833543579399,0.017803802748593077,0.017712420928886155,0.06651202160209421,0.004,0.0,0.0069443239334779465,0.052558206796818496
training,1234,ADI,market_and_assets,naive,250,1.5160882520409458,1.6181099711235378,0.0,0.0,1.0437135634495194,0.21499684389125706,0.1053373264143756,0.07072137372929269,0.0356210465533149,5.251746946343793,2.8957205516043087,1.526851849075755,1.637662705178476,0.02726610212782805,0.02726610212782805,0.16982894202111776,0.0,0.0,0.0031395516992046343,0.027187274041937836
training,1234,ADI,market_and_assets,hybrid,250,0.9968534017428693,1.045887893266686,0.72,0.744,0.2808016248676304,0.05784294199123647,0.10281319430530901,0.06921672146071599,0.03577660629332442,6.0906610841817335,2.7524799373707403,0.999320323565539,1.0751707561894812,0.018713714352156845,0.018713714352156845,0.0660639305680159,0.0,0.0,0.006364425162689802,0.04890527838033263
training,1234,ADM,off,naive,250,1.2803823190043548,1.3650219747831862,0.004,0.0,0.5870190853863907,0.13922065504643527,0.10117585900881328,0.06875996441723058,0.028593643372603266,11.66821169631834,20.869588899941633,1.283644010640775,1.371379669247002,0.024205570410276104,0.024205570410276104,0.06629419715880681,0.0,0.0,0.0064367317425885785,0.03585538684020242
training,1234,ADM,off,hybrid,250,1.0022841387018115,1.0589399858243373,0.816,0.72,0.24083512935194917,0.057117775727004806,0.10113468263797623,0.06872778595500197,0.028533436739056194,10.585849138992454,21.6840826028066,1.001724163240411,1.0724481501313097,0.020572441654579533,0.020572441654579533,0.036066438087003,0.0,0.0,0.009216196673897316,0.048474331164135964
training,1234,ADM,market_only,naive,250,1.2909785771628906,1.375990725543997,0.0,0.0,0.6092200165579194,0.14448594923752048,0.09801893566083245,0.06659161754817397,0.028509121306192105,11.464981383447833,21.081047750653838,1.2973798371299685,1.3870568986544203,0.023592567705078595,0.023592567705078595,0.05958190575499419,0.0,0.0,0.006310918293564719,0.03541720896601589
training,1234,ADM,market_only,hybrid,250,1.0003622426313128,1.0610041118921716,0.788,0.704,0.2447534336059605,0.0580470621820706,0.0960248397711211,0.06515378962378547,0.028433552912657933,10.314966673853222,21.955331651651665,1.001344771296083,1.072465237550804,0.019826260259114478,0.019826260259114478,0.03794613886203994,0.0,0.0,0.009193058568329708,0.048530730296456985
training,1234,ADM,market_and_assets,naive,250,1.2789206725658109,1.425815887502099,0.008,0.0,0.6660641600375055,0.15796741702586747,0.0832357147903734,0.05721306614845148,0.028963188467697822,11.518620082517774,20.3115217949715,1.2857121461329282,1.4435035662171,0.02326622183156039,0.02326622183156039,0.06693177855008187,0.0,0.0,0.005869848156182215,0.034040491684743296
training,1234,ADM,market_and_assets,hybrid,250,1.0018900172476277,1.0998349030365198,0.664,0.572,0.3040425148675184,0.07210838477927754,0.08221751923266951,0.05627606094240056,0.028865180935562427,10.43173495110202,21.11249785907603,1.001735866073936,1.1288478793907,0.01970662603850959,0.01970662603850959,0.042309800647853564,0.0,0.0,0.008445408532176424,0.04598120028922635
training,1234,ADP,off,naive,250,1.5195043931223287,1.6142641992436435,0.0,0.0,0.823526836789439,0.21819849982877734,0.15144579863615662,0.09633682635651514,0.04657067859600891,9.514758809445103,8.68288043254987,1.5258499799891438,1.6105425737889816,0.020919479222052294,0.020919479222052294,0.1864537560532111,0.0,0.0,0.0037469269703543106,0.030469992769342025
training,1234,ADP,off,hybrid,250,1.0002122766952493,1.052553336900171,0.5,0.332,0.28151180224686306,0.07458828321106237,0.15061302681736408,0.09603183493909341,0.04678308894052596,8.250279521796768,9.669195994985019,0.9998094066575225,1.058687616904689,0.014386467997714585,0.014386467997714585,0.05898504605538617,0.0,0.0,0.006639190166305135,0.046912509038322434
training,1234,ADP,market_only,naive,250,1.5402108250482103,1.6240466688983404,0.0,0.0,0.851644146265754,0.22564835388680857,0.14577438739804968,0.09217969444864403,0.04639593468637655,9.430694294953815,8.862623681173238,1.5542744077621595,1.6399385345805557,0.0209588251593913,0.0209588251593913,0.17552477016980944,0.0,0.0,0.0036572668112798364,0.03014316702819959
training,1234,ADP,market_only,hybrid,250,0.9992433032233348,1.051222050722969,0.568,0.372,0.27665827231971735,0.07330231060923918,0.13749720223848164,0.08709727754444077,0.046515366834430145,8.517985583598465,9.96862171174338,0.9996639676947706,1.0585302072799285,0.014008713933514692,0.014008713933514692,0.07753857230266087,0.0,0.0,0.006617498192335511,0.04728850325379608
training,1234,ADP,market_and_assets,naive,250,1.52656110640761,1.653490851631084,0.0,0.0,0.8928768303350532,0.2365732070985267,0.13342081954834972,0.08377556589286964,0.046445037462166695,9.453594866971773,9.293302742056731,1.5401027321739542,1.6783789067488966,0.021848880981598866,0.021848880981598866,0.1813371995034073,0.0,0.0,0.0034837310195227843,0.029287057122198135
training,1234,ADP,market_and_assets,hybrid,250,1.0030332082353859,1.0875617681722236,0.432,0.308,0.3222909656243374,0.08539297332647698,0.1296964147457742,0.0814285172004334,0.046515206540245324,8.461540091206773,10.228661777743472,1.0016562273442897,1.0963471573964894,0.014909974506102592,0.014909974506102592,0.07218059821130701,0.0,0.0,0.0062675343456254536,0.045301518438177826
training,1234,ADSK,off,naive,250,1.4701976238748522,1.4963600629402154,0.0,0.0,1.0264895458814358,0.18160197161793187,0.10041844007460858,0.061600428779356564,0.02969177767141942,5.471917378829574,2.5358094632571637,1.4693029537135804,1.4948335606935665,0.03176303182910026,0.03176303182910026,0.13796508791738168,0.0,0.0,0.004140274765003617,0.03009110629067247
training,1234,ADSK,off,hybrid,250,0.9992633059581849,1.0232047400336328,0.876,0.864,0.2690770533675785,0.047603917258344695,0.09963715270556711,0.06135166018128128,0.029684335115697152,5.616703663845883,2.520467738584826,1.0000955691446942,1.0190693061517944,0.023173846756228203,0.023173846756228203,0.048479609314263435,0.0,0.0,0.007903109182935648,0.04766738973246567
training,1234,ADSK,market_only,naive,250,1.483972371240001,1.5129986118947927,0.0,0.0,1.0641241922390667,0.18826012610875098,0.09541661331726063,0.05835178522885994,0.030030702797031277,5.540115282415447,2.5933933704856567,1.495970553875507,1.5224285691833013,0.03211917175530167,0.03211917175530167,0.12636502659881632,0.0,0.0,0.003979754157628346,0.02951988430947216
training,1234,ADSK,market_only,hybrid,250,1.00077251897941,1.0218386652293425,0.912,0.888,0.2643574577362416,0.046768947359889304,0.08991590946733323,0.05577328112015065,0.03014198478355048,5.923260888791865,2.6528369253833706,1.0017721599428224,1.0210419571045237,0.02289140972023885,0.02289140972023885,0.061273346110026494,0.0,0.0,0.007748373101952282,0.047762834417932026
training,1234,ADSK,market_and_assets,naive,250,1.4614935106480256,1.5678172488546225,0.0,0.0,1.1557014117823694,0.2044615610781361,0.08206926830525015,0.0526435149722118,0.029639541930538558,5.717007991686556,2.777972188614586,1.4700859041079757,1.5896930860930751,0.03122780632555111,0.03122780632555111,0.13837207066855892,0.0,0.0,0.0036471438900940027,0.0281518438177874
training,1234,ADSK,market_and_assets,hybrid,250,1.0032156305265219,1.0673500365220745,0.732,0.664,0.35509956155330447,0.06282263736389937,0.07961192919382278,0.050942067354601085,0.029639795304248606,5.831761382374058,2.7544581210887786,1.002709014649695,1.0879748542352103,0.022765867018997254,0.022765867018997254,0.0601363686975682,0.0,0.0,0.006835864063629787,0.04442227042660884
training,1234,AEE,off,naive,250,1.2047562608115587,1.2781871575132437,0.144,0.0,0.3736684934396426,0.10805754515318973,0.1812287235393526,0.09550036079109653,0.037538670794421004,13.31119100536025,9.288779164288773,1.2079611902214007,1.2869741363580811,0.019406132595829843,0.019406132595829843,0.04083749822307771,0.0,0.0,0.0072581344902386226,0.038610267534345606
training,1234,AEE,off,hybrid,250,0.9991591024299833,1.0510161326812488,0.972,0.896,0.17154451652086541,0.04960728470603493,0.18136868608754478,0.09556304049688717,0.03750859691412971,12.520822244374836,9.739319648025425,0.9990056201759192,1.0670386942439483,0.017277116464510366,0.017277116464510366,0.02760384725676114,0.0,0.0,0.008924078091106295,0.04758785249457703
training,1234,AEE,market_only,naive,250,1.211055602550121,1.2877884088559117,0.104,0.0,0.390838083762447,0.1130226514282465,0.1793137982642114,0.09411605356626138,0.03745644824795248,13.070504413248381,9.402008379605098,1.220099781952847,1.3000171458118626,0.018394358488425615,0.018394358488425615,0.03670180607362025,0.0,0.0,0.007171366594360099,0.03822270426608823
training,1234,AEE,market_only,hybrid,250,1.0000665717387096,1.0547718524885163,0.952,0.86,0.17622412828923692,0.05096053596708051,0.17843811510126095,0.0935231198075836,0.03741156778196688,12.222247400268184,9.880431524015494,1.0002282627719634,1.0683364559545456,0.016278251338122746,0.016278251338122746,0.03159940477390316,0.0,0.0,0.008854663774403476,0.04760665220535071
training,1234,AEE,market_and_assets,naive,250,1.2011425556179778,1.3277368695569827,0.092,0.004,0.43669920379908017,0.12628478119336875,0.15641176123623873,0.08479856283760544,0.038397878122541515,11.552658419269605,8.130964904405939,1.2105221452064583,1.3576635225269449,0.019038503655118794,0.019038503655118794,0.043583177119363235,0.0,0.0,0.006464208242950109,0.0358105567606652
